city,Traffic / Vehicular,Industrial / Coal,Photochemical / Ozone
agartala,32.27221094234904,26.409818034651973,41.317971022999
ahmedabad,34.12360465838424,31.26354176879027,34.61285357282549
aizawl,51.83944034811526,14.468072617108716,33.69248703477602
bengaluru,42.38187884244806,32.613749190454605,25.004371967097327
bhopal,48.61759042807878,11.181737166772963,40.200672405148254
bhubaneswar,38.799151806317134,19.464886767228563,41.7359614264543
chandigarh,32.900201503185286,31.09526463284621,36.004533863968504
chennai,48.06290214988284,23.85905719126382,28.078040658853354
dehradun,43.41284428137905,24.382253621041386,32.20490209757956
delhi,19.691629865181618,37.55078977130921,42.75758036350918
gangtok,57.979030659672624,14.155436497167342,27.865532843160036
gurugram,17.05325959062602,36.50024023231131,46.44650017706267
guwahati,44.94085483854405,13.247436997986181,41.811708163469774
hyderabad,42.887225985604466,25.239917449912593,31.872856564482948
imphal,44.75839212928095,23.476302455954784,31.76530541476426
itanagar,60.248314949739154,7.447550184938215,32.304134865322624
jaipur,34.56977807407709,22.08042290315241,43.34979902277049
kohima,54.63354214000978,14.381774608356517,30.984683251633687
kolkata,27.1280745518331,30.679050234465677,42.19287521370122
lucknow,30.135930746804686,22.105494641723777,47.758574611471545
mumbai,33.536524778657345,34.31390932894809,32.14956589239456
panaji,48.17704778083297,14.089441831257584,37.733510387909455
patna,30.58093434547246,22.436913352589663,46.98215230193789
raipur,24.315990338314663,44.54339389691947,31.140615764765872
ranchi,43.119770663451575,20.255081513370634,36.6251478231778
shillong,57.761239340272475,10.249229346907176,31.98953131282034
shimla,53.2776202245594,18.73404188108495,27.988337894355663
thiruvananthapuram,62.633327940033624,6.947903639686304,30.418768420280067
visakhapatnam,25.319251272844173,49.90353524288485,24.777213484270984
