file,status,reason,rows,cols,null_pct,columns_preview
3b01bcb8-0b14-4abf-b6f2-c1bfd384ba69.csv,REJECTED,has pollutants but only 200 rows — likely a sample/subset,200.0,11.0,3.4%,"['country', 'state', 'city', 'station', 'last_update']"
AP001.csv,REJECTED,has pollutants but only 200 rows — likely a sample/subset,200.0,23.0,12.5%,"['From Date', 'To Date', 'PM2.5 (ug/m3)', 'PM10 (ug/m3)', 'NO (ug/m3)']"
AQI Data.csv,REJECTED,no pollutant or AQI columns | no date or city column,200.0,9.0,50.0%,"['T', 'TM', 'Tm', 'SLP', 'H']"
AQI.csv,REJECTED,has pollutants but only 200 rows — likely a sample/subset,200.0,11.0,3.4%,"['country', 'state', 'city', 'station', 'last_update']"
Agartala_AQIBulletins.csv,ACCEPTED,AQI Bulletin,,,,
Agra_AQIBulletins.csv,ACCEPTED,AQI Bulletin,,,,
Ahmedabad_AQIBulletins.csv,ACCEPTED,AQI Bulletin,,,,
Aizawl_AQIBulletins.csv,ACCEPTED,AQI Bulletin,,,,
Ajmer_AQIBulletins.csv,ACCEPTED,AQI Bulletin,,,,
Akola_AQIBulletins.csv,ACCEPTED,AQI Bulletin,,,,
Alwar_AQIBulletins.csv,ACCEPTED,AQI Bulletin,,,,
Amaravati_AQIBulletins.csv,ACCEPTED,AQI Bulletin,,,,
Ambala_AQIBulletins.csv,ACCEPTED,AQI Bulletin,,,,
Amravati_AQIBulletins.csv,ACCEPTED,AQI Bulletin,,,,
Amritsar_AQIBulletins.csv,ACCEPTED,AQI Bulletin,,,,
Anantapur_AQIBulletins.csv,ACCEPTED,AQI Bulletin,,,,
Angul_AQIBulletins.csv,ACCEPTED,AQI Bulletin,,,,
Ankleshwar_AQIBulletins.csv,ACCEPTED,AQI Bulletin,,,,
Araria_AQIBulletins.csv,ACCEPTED,AQI Bulletin,,,,
Ariyalur_AQIBulletins.csv,ACCEPTED,AQI Bulletin,,,,
Arrah_AQIBulletins.csv,ACCEPTED,AQI Bulletin,,,,
Asansol_AQIBulletins.csv,ACCEPTED,AQI Bulletin,,,,
AshokVihar_Hourly.csv,REJECTED,no date or city column | has pollutants but only 200 rows — likely a sample/subset,200.0,21.0,0.0%,"['Unnamed: 0', 'PM2.5', 'year', 'month', 'day']"
Aurangabad (Bihar)_AQIBulletins.csv,ACCEPTED,AQI Bulletin,,,,
Aurangabad_AQIBulletins.csv,ACCEPTED,AQI Bulletin,,,,
Baddi_AQIBulletins.csv,ACCEPTED,AQI Bulletin,,,,
Badlapur_AQIBulletins.csv,ACCEPTED,AQI Bulletin,,,,
Bagalkot_AQIBulletins.csv,ACCEPTED,AQI Bulletin,,,,
Baghpat_AQIBulletins.csv,ACCEPTED,AQI Bulletin,,,,
Bahadurgarh_AQIBulletins.csv,ACCEPTED,AQI Bulletin,,,,
Balasore_AQIBulletins.csv,ACCEPTED,AQI Bulletin,,,,
Ballabgarh_AQIBulletins.csv,ACCEPTED,AQI Bulletin,,,,
Banswara_AQIBulletins.csv,ACCEPTED,AQI Bulletin,,,,
Baran_AQIBulletins.csv,ACCEPTED,AQI Bulletin,,,,
