city,datetime,pm2_5_ugm3,pm10_ugm3,co_ugm3,no2_ugm3,so2_ugm3,o3_ugm3,AQI,hour,day_of_week,month,is_weekend
delhi,2026-04-26 17:54:54,27.71,76.75,148.46,2.67,1.67,98.53,99,17,6,4,1
mumbai,2026-04-26 17:54:54,36.59,124.58,106.47,0.12,0.55,54.1,117,17,6,4,1
bangalore,2026-04-26 17:54:54,24.16,28.8,183.66,3.01,1.91,108.68,112,17,6,4,1
kolkata,2026-04-26 17:54:54,11.96,31.1,131.88,0.75,0.83,48.44,48,17,6,4,1
delhi,2026-04-26 17:54:58,27.71,76.75,148.46,2.67,1.67,98.53,99,17,6,4,1
mumbai,2026-04-26 17:54:58,36.59,124.58,106.47,0.12,0.55,54.1,117,17,6,4,1
bangalore,2026-04-26 17:54:58,24.16,28.8,183.66,3.01,1.91,108.68,112,17,6,4,1
kolkata,2026-04-26 17:54:58,11.96,31.1,131.88,0.75,0.83,48.44,48,17,6,4,1
delhi,2026-04-26 17:55:00,27.71,76.75,148.46,2.67,1.67,98.53,99,17,6,4,1
mumbai,2026-04-26 17:55:00,36.59,124.58,106.47,0.12,0.55,54.1,117,17,6,4,1
bangalore,2026-04-26 17:55:00,24.16,28.8,183.66,3.01,1.91,108.68,112,17,6,4,1
kolkata,2026-04-26 17:55:00,11.96,31.1,131.88,0.75,0.83,48.44,48,17,6,4,1
delhi,2026-04-26 17:55:01,27.71,76.75,148.46,2.67,1.67,98.53,99,17,6,4,1
mumbai,2026-04-26 17:55:01,36.59,124.58,106.47,0.12,0.55,54.1,117,17,6,4,1
bangalore,2026-04-26 17:55:01,24.16,28.8,183.66,3.01,1.91,108.68,112,17,6,4,1
kolkata,2026-04-26 17:55:01,11.96,31.1,131.88,0.75,0.83,48.44,48,17,6,4,1
delhi,2026-04-26 17:55:02,27.71,76.75,148.46,2.67,1.67,98.53,99,17,6,4,1
mumbai,2026-04-26 17:55:02,36.59,124.58,106.47,0.12,0.55,54.1,117,17,6,4,1
bangalore,2026-04-26 17:55:02,24.16,28.8,183.66,3.01,1.91,108.68,112,17,6,4,1
kolkata,2026-04-26 17:55:03,11.96,31.1,131.88,0.75,0.83,48.44,48,17,6,4,1
delhi,2026-04-26 17:55:03,27.71,76.75,148.46,2.67,1.67,98.53,99,17,6,4,1
mumbai,2026-04-26 17:55:03,36.59,124.58,106.47,0.12,0.55,54.1,117,17,6,4,1
bangalore,2026-04-26 17:55:03,24.16,28.8,183.66,3.01,1.91,108.68,112,17,6,4,1
kolkata,2026-04-26 17:55:04,11.96,31.1,131.88,0.75,0.83,48.44,48,17,6,4,1
delhi,2026-04-26 17:55:04,27.71,76.75,148.46,2.67,1.67,98.53,99,17,6,4,1
mumbai,2026-04-26 17:55:05,36.59,124.58,106.47,0.12,0.55,54.1,117,17,6,4,1
bangalore,2026-04-26 17:55:05,24.16,28.8,183.66,3.01,1.91,108.68,112,17,6,4,1
kolkata,2026-04-26 17:55:05,11.96,31.1,131.88,0.75,0.83,48.44,48,17,6,4,1
delhi,2026-04-26 17:55:05,27.71,76.75,148.46,2.67,1.67,98.53,99,17,6,4,1
mumbai,2026-04-26 17:55:05,36.59,124.58,106.47,0.12,0.55,54.1,117,17,6,4,1
bangalore,2026-04-26 17:55:06,24.16,28.8,183.66,3.01,1.91,108.68,112,17,6,4,1
kolkata,2026-04-26 17:55:06,11.96,31.1,131.88,0.75,0.83,48.44,48,17,6,4,1
delhi,2026-04-26 17:55:07,27.71,76.75,148.46,2.67,1.67,98.53,99,17,6,4,1
mumbai,2026-04-26 17:55:07,36.59,124.58,106.47,0.12,0.55,54.1,117,17,6,4,1
bangalore,2026-04-26 17:55:07,24.16,28.8,183.66,3.01,1.91,108.68,112,17,6,4,1
kolkata,2026-04-26 17:55:07,11.96,31.1,131.88,0.75,0.83,48.44,48,17,6,4,1
delhi,2026-04-26 17:55:07,27.71,76.75,148.46,2.67,1.67,98.53,99,17,6,4,1
mumbai,2026-04-26 17:55:08,36.59,124.58,106.47,0.12,0.55,54.1,117,17,6,4,1
bangalore,2026-04-26 17:55:08,24.16,28.8,183.66,3.01,1.91,108.68,112,17,6,4,1
kolkata,2026-04-26 17:55:08,11.96,31.1,131.88,0.75,0.83,48.44,48,17,6,4,1
delhi,2026-04-26 17:55:09,27.71,76.75,148.46,2.67,1.67,98.53,99,17,6,4,1
mumbai,2026-04-26 17:55:09,36.59,124.58,106.47,0.12,0.55,54.1,117,17,6,4,1
bangalore,2026-04-26 17:55:09,24.16,28.8,183.66,3.01,1.91,108.68,112,17,6,4,1
kolkata,2026-04-26 17:55:09,11.96,31.1,131.88,0.75,0.83,48.44,48,17,6,4,1
delhi,2026-04-26 17:55:12,27.71,76.75,148.46,2.67,1.67,98.53,99,17,6,4,1
mumbai,2026-04-26 17:55:13,36.59,124.58,106.47,0.12,0.55,54.1,117,17,6,4,1
bangalore,2026-04-26 17:55:13,24.16,28.8,183.66,3.01,1.91,108.68,112,17,6,4,1
kolkata,2026-04-26 17:55:13,11.96,31.1,131.88,0.75,0.83,48.44,48,17,6,4,1
delhi,2026-04-26 17:55:14,27.71,76.75,148.46,2.67,1.67,98.53,99,17,6,4,1
mumbai,2026-04-26 17:55:14,36.59,124.58,106.47,0.12,0.55,54.1,117,17,6,4,1
bangalore,2026-04-26 17:55:14,24.16,28.8,183.66,3.01,1.91,108.68,112,17,6,4,1
kolkata,2026-04-26 17:55:14,11.96,31.1,131.88,0.75,0.83,48.44,48,17,6,4,1
delhi,2026-04-26 17:55:16,27.71,76.75,148.46,2.67,1.67,98.53,99,17,6,4,1
mumbai,2026-04-26 17:55:16,36.59,124.58,106.47,0.12,0.55,54.1,117,17,6,4,1
bangalore,2026-04-26 17:55:16,24.16,28.8,183.66,3.01,1.91,108.68,112,17,6,4,1
kolkata,2026-04-26 17:55:16,11.96,31.1,131.88,0.75,0.83,48.44,48,17,6,4,1
delhi,2026-04-26 18:02:15,28.5,76.36,176.41,5.83,2.07,89.18,89,18,6,4,1
mumbai,2026-04-26 18:02:16,36.59,124.58,106.47,0.12,0.55,54.1,117,18,6,4,1
bangalore,2026-04-26 18:02:16,24.16,28.8,183.66,3.01,1.91,108.68,112,18,6,4,1
kolkata,2026-04-26 18:02:16,11.96,31.1,131.88,0.75,0.83,48.44,48,18,6,4,1
delhi,2026-04-26 18:03:01,28.5,76.36,176.41,5.83,2.07,89.18,89,18,6,4,1
mumbai,2026-04-26 18:03:01,36.72,123.63,106.4,0.16,0.55,54.36,116,18,6,4,1
bangalore,2026-04-26 18:03:01,24.16,28.8,183.66,3.01,1.91,108.68,112,18,6,4,1
kolkata,2026-04-26 18:03:02,11.96,31.1,131.88,0.75,0.83,48.44,48,18,6,4,1
