country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",13-03-2026 15:00,13.20488,79.097889,OZONE,18,38,25
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",13-03-2026 15:00,16.186555,81.13219,NO2,10,20,15
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",13-03-2026 15:00,14.465052,78.824187,PM10,52,76,63
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",13-03-2026 15:00,13.20488,79.097889,NO2,25,40,29
India,Andhra_Pradesh,Eluru,"District Court, Eluru - APPCB",13-03-2026 15:00,16.711754,81.092095,CO,23,44,29
India,Andhra_Pradesh,Eluru,"District Court, Eluru - APPCB",13-03-2026 15:00,16.711754,81.092095,OZONE,2,41,14
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",13-03-2026 15:00,13.20488,79.097889,NO2,25,40,29
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",13-03-2026 15:00,13.20488,79.097889,SO2,12,24,14
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",13-03-2026 15:00,16.5150833,80.5181667,PM10,38,100,66
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",13-03-2026 15:00,16.316553,80.413302,NO2,12,18,15
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",13-03-2026 15:00,14.675886,77.593027,PM2.5,40,58,51
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",13-03-2026 15:00,14.675886,77.593027,OZONE,35,40,37
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",13-03-2026 15:00,14.675886,77.593027,SO2,10,19,12
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",13-03-2026 15:00,16.5150833,80.5181667,NH3,2,2,2
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",13-03-2026 15:00,14.465052,78.824187,CO,22,52,45
