country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,year,month,day,hour,weekday,pollutant_range,aqi_category,season
India,Andhra Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - Appcb",2026-03-13 15:00:00,13.20488,79.097889,Ozone,18.0,38.0,25.0,2026,3,13,15,Friday,20.0,N/A,Summer
India,Andhra Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - Appcb",2026-03-13 15:00:00,16.186555,81.13219,No2,10.0,20.0,15.0,2026,3,13,15,Friday,10.0,N/A,Summer
India,Andhra Pradesh,Kadapa,"Yerramukkapalli, Kadapa - Appcb",2026-03-13 15:00:00,14.465052,78.824187,Pm10,52.0,76.0,63.0,2026,3,13,15,Friday,24.0,N/A,Summer
India,Andhra Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - Appcb",2026-03-13 15:00:00,13.20488,79.097889,No2,25.0,40.0,29.0,2026,3,13,15,Friday,15.0,N/A,Summer
India,Andhra Pradesh,Eluru,"District Court, Eluru - Appcb",2026-03-13 15:00:00,16.711754,81.092095,Co,23.0,44.0,29.0,2026,3,13,15,Friday,21.0,N/A,Summer
India,Andhra Pradesh,Eluru,"District Court, Eluru - Appcb",2026-03-13 15:00:00,16.711754,81.092095,Ozone,2.0,41.0,14.0,2026,3,13,15,Friday,39.0,N/A,Summer
India,Andhra Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - Appcb",2026-03-13 15:00:00,13.20488,79.097889,So2,12.0,24.0,14.0,2026,3,13,15,Friday,12.0,N/A,Summer
India,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - Appcb",2026-03-13 15:00:00,16.5150833,80.5181667,Pm10,38.0,100.0,66.0,2026,3,13,15,Friday,62.0,N/A,Summer
India,Andhra Pradesh,Guntur,"Rajendra Nagar North, Guntur - Appcb",2026-03-13 15:00:00,16.316553,80.413302,No2,12.0,18.0,15.0,2026,3,13,15,Friday,6.0,N/A,Summer
India,Andhra Pradesh,Anantapur,"Gulzarpet, Anantapur - Appcb",2026-03-13 15:00:00,14.675886,77.593027,Pm2.5,40.0,58.0,51.0,2026,3,13,15,Friday,18.0,N/A,Summer
India,Andhra Pradesh,Anantapur,"Gulzarpet, Anantapur - Appcb",2026-03-13 15:00:00,14.675886,77.593027,Ozone,35.0,40.0,37.0,2026,3,13,15,Friday,5.0,N/A,Summer
India,Andhra Pradesh,Anantapur,"Gulzarpet, Anantapur - Appcb",2026-03-13 15:00:00,14.675886,77.593027,So2,10.0,19.0,12.0,2026,3,13,15,Friday,9.0,N/A,Summer
India,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - Appcb",2026-03-13 15:00:00,16.5150833,80.5181667,Nh3,2.0,2.0,2.0,2026,3,13,15,Friday,0.0,N/A,Summer
India,Andhra Pradesh,Kadapa,"Yerramukkapalli, Kadapa - Appcb",2026-03-13 15:00:00,14.465052,78.824187,Co,22.0,52.0,45.0,2026,3,13,15,Friday,30.0,N/A,Summer
India,Andhra Pradesh,Kadapa,"Yerramukkapalli, Kadapa - Appcb",2026-03-13 15:00:00,14.465052,78.824187,Ozone,13.0,15.0,14.0,2026,3,13,15,Friday,2.0,N/A,Summer
India,Andhra Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - Appcb",2026-03-13 15:00:00,16.186555,81.13219,Nh3,3.0,6.0,5.0,2026,3,13,15,Friday,3.0,N/A,Summer
India,Andhra Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - Appcb",2026-03-13 15:00:00,16.186555,81.13219,Co,13.0,40.0,26.0,2026,3,13,15,Friday,27.0,N/A,Summer
India,Andhra Pradesh,Tirumala,"Toll Gate, Tirumala - Appcb",2026-03-13 15:00:00,13.67,79.35,Co,20.0,39.0,26.0,2026,3,13,15,Friday,19.0,N/A,Summer
India,Assam,Byrnihat,"Central Academy For Sfs, Byrnihat - Pcba",2026-03-13 15:00:00,26.071318,91.87488,Pm2.5,83.0,213.0,162.0,2026,3,13,15,Friday,130.0,N/A,Summer
India,Assam,Byrnihat,"Central Academy For Sfs, Byrnihat - Pcba",2026-03-13 15:00:00,26.071318,91.87488,So2,18.0,32.0,30.0,2026,3,13,15,Friday,14.0,N/A,Summer
India,Assam,Byrnihat,"Central Academy For Sfs, Byrnihat - Pcba",2026-03-13 15:00:00,26.071318,91.87488,Ozone,12.0,32.0,18.0,2026,3,13,15,Friday,20.0,N/A,Summer
India,Assam,Guwahati,"Iitg, Guwahati - Pcba",2026-03-13 15:00:00,26.2028636,91.70046436,So2,32.0,34.0,32.0,2026,3,13,15,Friday,2.0,N/A,Summer
India,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - Appcb",2026-03-13 15:00:00,16.9872867,81.7363176,Pm10,32.0,108.0,52.0,2026,3,13,15,Friday,76.0,N/A,Summer
India,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - Appcb",2026-03-13 15:00:00,16.9872867,81.7363176,No2,9.0,36.0,20.0,2026,3,13,15,Friday,27.0,N/A,Summer
India,Andhra Pradesh,Tirupati,"Vaikuntapuram, Tirupati - Appcb",2026-03-13 15:00:00,13.615387,79.40923,No2,22.0,33.0,25.0,2026,3,13,15,Friday,11.0,N/A,Summer
India,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - Appcb",2026-03-13 15:00:00,16.9872867,81.7363176,Ozone,2.0,114.0,44.0,2026,3,13,15,Friday,112.0,N/A,Summer
India,Andhra Pradesh,Guntur,"Rajendra Nagar North, Guntur - Appcb",2026-03-13 15:00:00,16.316553,80.413302,Pm2.5,34.0,91.0,48.0,2026,3,13,15,Friday,57.0,N/A,Summer
India,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - Appcb",2026-03-13 15:00:00,16.9872867,81.7363176,Pm2.5,22.0,88.0,39.0,2026,3,13,15,Friday,66.0,N/A,Summer
India,Andhra Pradesh,Vijayawada,"Hb Colony, Vijayawada - Appcb",2026-03-13 15:00:00,16.536107,80.594233,Nh3,3.0,4.0,3.0,2026,3,13,15,Friday,1.0,N/A,Summer
India,Andhra Pradesh,Vijayawada,"Kanuru, Vijayawada - Appcb",2026-03-13 15:00:00,16.486692,80.699436,Pm2.5,37.0,157.0,80.0,2026,3,13,15,Friday,120.0,N/A,Summer
India,Andhra Pradesh,Vijayawada,"Kanuru, Vijayawada - Appcb",2026-03-13 15:00:00,16.486692,80.699436,Nh3,4.0,7.0,5.0,2026,3,13,15,Friday,3.0,N/A,Summer
India,Andhra Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - Appcb",2026-03-13 15:00:00,16.509717,80.612222,Nh3,4.0,7.0,5.0,2026,3,13,15,Friday,3.0,N/A,Summer
India,Andhra Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - Appcb",2026-03-13 15:00:00,16.554731,80.64911,Pm2.5,52.0,68.0,62.0,2026,3,13,15,Friday,16.0,N/A,Summer
India,Andhra Pradesh,Vijayawada,"Hb Colony, Vijayawada - Appcb",2026-03-13 15:00:00,16.536107,80.594233,Pm10,47.0,129.0,65.0,2026,3,13,15,Friday,82.0,N/A,Summer
India,Andhra Pradesh,Tirumala,"Toll Gate, Tirumala - Appcb",2026-03-13 15:00:00,13.67,79.35,Pm10,48.0,114.0,72.0,2026,3,13,15,Friday,66.0,N/A,Summer
India,Assam,Guwahati,"Lgbi Airport, Guwahati - Pcba",2026-03-13 15:00:00,26.10887,91.589544,Co,12.0,61.0,50.0,2026,3,13,15,Friday,49.0,N/A,Summer
India,Assam,Guwahati,"Pan Bazaar, Guwahati - Pcba",2026-03-13 15:00:00,26.1875,91.744194,Pm2.5,1.0,98.0,62.0,2026,3,13,15,Friday,97.0,N/A,Summer
India,Andhra Pradesh,Visakhapatnam,"Gvm Corporation, Visakhapatnam - Appcb",2026-03-13 15:00:00,17.72,83.3,Pm2.5,25.0,200.0,73.0,2026,3,13,15,Friday,175.0,N/A,Summer
India,Andhra Pradesh,Visakhapatnam,"Gvm Corporation, Visakhapatnam - Appcb",2026-03-13 15:00:00,17.72,83.3,Nh3,3.0,4.0,3.0,2026,3,13,15,Friday,1.0,N/A,Summer
India,Assam,Guwahati,"Pan Bazaar, Guwahati - Pcba",2026-03-13 15:00:00,26.1875,91.744194,No2,14.0,40.0,26.0,2026,3,13,15,Friday,26.0,N/A,Summer
India,Assam,Guwahati,"Pan Bazaar, Guwahati - Pcba",2026-03-13 15:00:00,26.1875,91.744194,Ozone,10.0,26.0,10.0,2026,3,13,15,Friday,16.0,N/A,Summer
India,Assam,Guwahati,"Railway Colony, Guwahati - Pcba",2026-03-13 15:00:00,26.181742,91.78063,So2,4.0,9.0,6.0,2026,3,13,15,Friday,5.0,N/A,Summer
India,Assam,Nagaon,"Christianpatty, Nagaon - Pcba",2026-03-13 15:00:00,26.349082,92.68449,So2,7.0,13.0,11.0,2026,3,13,15,Friday,6.0,N/A,Summer
India,Assam,Nalbari,"Bata Chowk, Nalbari - Pcba",2026-03-13 15:00:00,26.446912,91.439057,Pm10,61.0,152.0,106.0,2026,3,13,15,Friday,91.0,N/A,Summer
India,Assam,Sivasagar,"Girls College, Sivasagar - Pcba",2026-03-13 15:00:00,26.987634,94.636574,Pm2.5,20.0,43.0,34.0,2026,3,13,15,Friday,23.0,N/A,Summer
