file,path,column,description
Dataset_AQI21-4.xlsx,./data/Dataset_AQI21-4.xlsx,City,"TEXT | nunique=138 | samples: Gulzarpet, Anantapur / Anand Kala Kshetram, / Tirumala-APPCB, Tiru / PWD Grounds, Vijayaw | 0.0% missing"
Dataset_AQI21-4.xlsx,./data/Dataset_AQI21-4.xlsx,AQI,NUMERIC | min=2.0 max=999.0 mean=118.738 | 0.0% missing
Dataset_AQI21-4.xlsx,./data/Dataset_AQI21-4.xlsx,PM2.5,NUMERIC | min=3.0 max=430.0 mean=104.236 | 3.3% missing
Dataset_AQI21-4.xlsx,./data/Dataset_AQI21-4.xlsx,PM10,NUMERIC | min=1.0 max=999.0 mean=96.169 | 11.1% missing
Dataset_AQI21-4.xlsx,./data/Dataset_AQI21-4.xlsx,O3,NUMERIC | min=0.1 max=61.0 mean=13.96 | 13.1% missing
Dataset_AQI21-4.xlsx,./data/Dataset_AQI21-4.xlsx,NO2,NUMERIC | min=0.1 max=198.0 mean=10.748 | 7.2% missing
Dataset_AQI21-4.xlsx,./data/Dataset_AQI21-4.xlsx,SO2,NUMERIC | min=0.2 max=121.0 mean=8.309 | 10.5% missing
Dataset_AQI21-4.xlsx,./data/Dataset_AQI21-4.xlsx,CO,NUMERIC | min=0.1 max=59.0 mean=7.662 | 12.4% missing
Dataset_AQI21-4.xlsx,./data/Dataset_AQI21-4.xlsx,Latitude,NUMERIC | min=8.515 max=53.589 mean=24.192 | 0.0% missing
Dataset_AQI21-4.xlsx,./data/Dataset_AQI21-4.xlsx,Longitude,NUMERIC | min=-123.006 max=142.948 mean=77.218 | 0.0% missing
Dataset_AQI21-4.xlsx,./data/Dataset_AQI21-4.xlsx,Time,TEXT | nunique=32 | samples: 2024-04-21 20:00:00 / 2020-11-19 16:00:00 / 2024-04-17 15:00:00 / 2024-04-18 07:00:00 | 0.7% missing
Dataset_AQI30-4.xlsx,./data/Dataset_AQI30-4.xlsx,City,"TEXT | nunique=138 | samples: Gulzarpet, Anantapur / Anand Kala Kshetram, / Tirumala-APPCB, Tiru / PWD Grounds, Vijayaw | 0.0% missing"
Dataset_AQI30-4.xlsx,./data/Dataset_AQI30-4.xlsx,AQI,NUMERIC | min=10.0 max=270.0 mean=98.787 | 0.0% missing
Dataset_AQI30-4.xlsx,./data/Dataset_AQI30-4.xlsx,PM2.5,NUMERIC | min=9.0 max=270.0 mean=97.418 | 4.6% missing
Dataset_AQI30-4.xlsx,./data/Dataset_AQI30-4.xlsx,PM10,NUMERIC | min=4.0 max=183.0 mean=72.493 | 11.1% missing
Dataset_AQI30-4.xlsx,./data/Dataset_AQI30-4.xlsx,O3,NUMERIC | min=0.1 max=67.3 mean=20.196 | 12.4% missing
Dataset_AQI30-4.xlsx,./data/Dataset_AQI30-4.xlsx,NO2,NUMERIC | min=0.1 max=198.0 mean=8.844 | 9.2% missing
Dataset_AQI30-4.xlsx,./data/Dataset_AQI30-4.xlsx,SO2,NUMERIC | min=0.2 max=216.6 mean=9.864 | 11.1% missing
Dataset_AQI30-4.xlsx,./data/Dataset_AQI30-4.xlsx,CO,NUMERIC | min=0.1 max=51.0 mean=6.962 | 13.1% missing
Dataset_AQI30-4.xlsx,./data/Dataset_AQI30-4.xlsx,Latitude,NUMERIC | min=8.515 max=53.589 mean=24.192 | 0.0% missing
